term,positive_mean_tfidf,negative_mean_tfidf,tfidf_difference,positive_npmi,negative_npmi,npmi_difference,composite_score,favored_group
rebuilding,0.0,0.000401832399,-0.000401832399,-1.0,0.078363949163,-1.078363949163,-1.078765781562,cold
parts,0.0,0.000397631351,-0.000397631351,-1.0,0.078363949163,-1.078363949163,-1.078761580514,cold
pfas,0.0,0.000396839526,-0.000396839526,-1.0,0.078363949163,-1.078363949163,-1.078760788689,cold
civics,0.0,0.000395679486,-0.000395679486,-1.0,0.078363949163,-1.078363949163,-1.078759628649,cold
diversity,0.0,0.001786591754,-0.001786591754,-1.0,0.076969534763,-1.076969534763,-1.078756126517,cold
commerce,0.0,0.000391659117,-0.000391659117,-1.0,0.078363949163,-1.078363949163,-1.07875560828,cold
paris,0.0,0.000381847319,-0.000381847319,-1.0,0.078363949163,-1.078363949163,-1.078745796482,cold
man,0.0,0.000368705981,-0.000368705981,-1.0,0.078363949163,-1.078363949163,-1.078732655144,cold
bigotry,0.0,0.00036783162,-0.00036783162,-1.0,0.078363949163,-1.078363949163,-1.078731780783,cold
educated,0.0,0.001221630007,-0.001221630007,-1.0,0.077305528488,-1.077305528488,-1.078527158495,cold
arts,0.0,0.003211615232,-0.003211615232,-1.0,0.075159042358,-1.075159042358,-1.078370657589,cold
carolina,0.0,0.002061329408,-0.002061329408,-1.0,0.075760892377,-1.075760892377,-1.077822221785,cold
air,0.0,0.002284485239,-0.002284485239,-1.0,0.075341912342,-1.075341912342,-1.077626397581,cold
debt,0.0,0.003141735724,-0.003141735724,-1.0,0.074251344833,-1.074251344833,-1.077393080557,cold
nh,0.0,0.001612311928,-0.001612311928,-1.0,0.075548374228,-1.075548374228,-1.077160686156,cold
vocational,0.0,0.000965068304,-0.000965068304,-1.0,0.076126557268,-1.076126557268,-1.077091625572,cold
drinking,0.0,0.000938560833,-0.000938560833,-1.0,0.076126557268,-1.076126557268,-1.077065118101,cold
significantly,0.0,0.000896059857,-0.000896059857,-1.0,0.076126557268,-1.076126557268,-1.077022617125,cold
strongly,0.0,0.001679557973,-0.001679557973,-1.0,0.075159042358,-1.075159042358,-1.07683860033,cold
idp,0.0,0.001043971745,-0.001043971745,-1.0,0.075548374228,-1.075548374228,-1.076592345973,cold
